Time,Channel A
(s),(V)

0.00000000,1.31870500
0.00666700,1.30088200
0.01333400,1.30088200
0.02000100,1.30088200
0.02666800,1.31870500
0.03333500,1.31870500
0.04000200,1.31870500
0.04666900,1.30088200
0.05333600,1.31870500
0.06000300,1.31870500
0.06667000,1.31870500
0.07333700,1.31870500
0.08000400,1.31870500
0.08667100,1.30088200
0.09333800,1.31870500
0.10000500,1.31870500
0.10667200,1.31870500
0.11333900,1.31870500
0.12000600,1.31870500
0.12667300,1.31870500
0.13334000,1.31870500
0.14000700,1.30088200
0.14667400,1.31870500
0.15334099,1.30088200
0.16000799,1.31870500
0.16667499,1.30088200
0.17334199,1.30088200
0.18000899,1.31870500
0.18667599,1.31870500
0.19334299,1.30088200
0.20000999,1.31870500
0.20667699,1.31870500
0.21334399,1.30088200
0.22001099,1.30088200
0.22667799,1.30088200
0.23334499,1.31870500
0.24001199,1.31870500
0.24667899,1.30088200
0.25334599,1.31870500
0.26001299,1.30088200
0.26667999,1.31870500
0.27334699,1.31870500
0.28001399,1.30088200
0.28668099,1.30088200
0.29334799,1.30088200
0.30001499,1.30088200
0.30668199,1.30088200
0.31334899,1.30088200
0.32001599,1.30088200
0.32668299,1.30088200
0.33334999,1.31870500
0.34001699,1.31870500
0.34668399,1.31870500
0.35335099,1.31870500
0.36001799,1.31870500
0.36668499,1.31870500
0.37335199,1.31870500
0.38001899,1.31870500
0.38668599,1.31870500
0.39335299,1.31870500
0.40001999,1.31870500
0.40668699,1.31870500
0.41335399,1.31870500
0.42002099,1.31870500
0.42668799,1.31870500
0.43335499,1.31870500
0.44002199,1.30088200
0.44668898,1.30088200
0.45335598,1.30088200
0.46002298,1.31870500
0.46668998,1.31870500
0.47335698,1.30088200
0.48002398,1.30088200
0.48669098,1.30088200
0.49335798,1.31870500
0.50002498,1.31870500
0.50669198,1.31870500
0.51335898,1.31870500
0.52002598,1.31870500
0.52669298,1.30088200
0.53335998,1.30088200
0.54002698,1.31870500
0.54669398,1.31870500
0.55336098,1.31870500
0.56002798,1.31870500
0.56669498,1.30088200
0.57336198,1.31870500
0.58002898,1.31870500
0.58669598,1.30088200
0.59336298,1.31870500
0.60002998,1.30088200
0.60669698,1.30088200
0.61336398,1.30088200
0.62003098,1.30088200
0.62669798,1.30088200
0.63336498,1.30088200
0.64003198,1.30088200
0.64669898,1.30088200
0.65336598,1.31870500
0.66003298,1.30088200
0.66669998,1.30088200
0.67336698,1.30088200
0.68003398,1.30088200
0.68670098,1.30088200
0.69336798,1.30088200
0.70003498,1.31870500
0.70670198,1.30088200
0.71336898,1.30088200
0.72003598,1.30088200
0.72670298,1.30088200
0.73336998,1.30088200
0.74003698,1.30088200
0.74670397,1.30088200
0.75337097,1.30088200
0.76003797,1.31870500
0.76670497,1.30088200
0.77337197,1.30088200
0.78003897,1.30088200
0.78670597,1.30088200
0.79337297,1.30088200
0.80003997,1.30088200
0.80670697,1.30088200
0.81337397,1.31870500
0.82004097,1.30088200
0.82670797,1.30088200
0.83337497,1.30088200
0.84004197,1.30088200
0.84670897,1.30088200
0.85337597,1.31870500
0.86004297,1.30088200
0.86670997,1.30088200
0.87337697,1.30088200
0.88004397,1.31870500
0.88671097,1.30088200
0.89337797,1.30088200
0.90004497,1.30088200
0.90671197,1.30088200
0.91337897,1.30088200
0.92004597,1.30088200
0.92671297,1.31870500
0.93337997,1.31870500
0.94004697,1.30088200
0.94671397,1.30088200
0.95338097,1.30088200
0.96004797,1.31870500
0.96671497,1.30088200
0.97338197,1.30088200
0.98004897,1.30088200
0.98671597,1.31870500
0.99338297,1.30088200
1.00004997,1.30088200
1.00671697,1.31870500
1.01338397,1.30088200
1.02005097,1.30088200
1.02671797,1.30088200
1.03338497,1.30088200
1.04005197,1.30088200
1.04671896,1.31870500
1.05338596,1.31870500
1.06005296,1.30088200
1.06671996,1.30088200
1.07338696,1.31870500
1.08005396,1.31870500
1.08672096,1.31870500
1.09338796,1.30088200
1.10005496,1.31870500
1.10672196,1.30088200
1.11338896,1.31870500
1.12005596,1.31870500
1.12672296,1.31870500
1.13338996,1.31870500
1.14005696,1.31870500
1.14672396,1.30088200
1.15339096,1.30088200
1.16005796,1.30088200
1.16672496,1.31870500
1.17339196,1.30088200
